cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
2518,,,,Energy,equity,0,0,rhp
2487,,,,Healthcare,equity,0,0,name
2453,,,,Other,equity,0,0,unknown
2551,,,,Consumer Discretionary,equity,0,0,rhp
2259,,,,Consumer Discretionary,equity,0,0,name
2470,,,,Consumer Discretionary,equity,0,0,rhp
2150,,,,Industrials,equity,0,0,rhp
2429,,,,Financials,equity,1,0,rhp
2254,,,,Healthcare,equity,0,0,rhp
2428,,,,Financials,equity,1,0,rhp
2064,,,,Consumer Discretionary,equity,0,0,rhp
2317,,,,Financials,equity,1,0,rhp
2014,,,,Real Estate,equity,0,1,rhp
2290,,,,Industrials,equity,0,0,rhp
2407,,,,Industrials,equity,0,0,name
1998,,,,Other,equity,0,0,unknown
2624,,,,Healthcare,equity,0,0,rhp
2306,,,,Energy,equity,0,0,rhp
2231,,,,Energy,equity,0,0,name
2432,,,,Energy,equity,0,0,rhp
2023,,,,Technology,equity,0,0,name
2212,,,,Other,equity,0,0,unknown
2345,,,,Other,equity,0,0,unknown
2028,,,,Other,equity,0,0,unknown
2048,,,,Technology,equity,0,0,name
2075,,,,Healthcare,equity,0,0,name
2174,,,,Energy,equity,0,0,rhp
2011,,,,Energy,equity,0,0,name
2045,,,,Consumer Discretionary,equity,0,0,rhp
2042,,,,Energy,equity,0,0,rhp
2082,,,,Energy,equity,0,0,rhp
2227,,,,Other,equity,0,0,unknown
2161,,,,Other,equity,0,0,unknown
2015,,,,Other,equity,0,0,unknown
