company,listing_date,issue_price,yahoo_symbol,ret_1d,basis,yahoo_first_date,yahoo_last_date,delisted,ret_6m,ret_12m,ret_24m,bottom_12m_pct,sessions_to_bottom,peak_24m_pct,sessions_to_peak,cg_ipo_id,current_ret,bottom_so_far_pct,bottom_so_far_session
Nandan Exim Ltd.,2005-06-13,20.0,532641.BO,151.0,cg_bridge,2005-06-13,2007-08-21,False,401.0,500.0,193.0,84.0,4.0,818.0,339.0,3027,,,
Cyber Media (India) Ltd.,2005-06-10,60.0,CYBERMEDIA.NS,75.7,cg_bridge,2005-06-10,2007-08-17,False,96.6,2.9,113.0,-11.0,245.0,127.1,365.0,3026,,,
3I Infotech Ltd.,2005-05-26,100.0,3IINFOLTD.BO,-2.7,cg_bridge,2005-05-23,2007-08-03,False,28.6,70.4,198.1,-12.5,29.0,219.8,491.0,3018,,,
Shoppers Stop Ltd.,2005-05-23,238.0,SHOPERSTOP.NS,56.6,cg_bridge,2005-05-23,2007-07-31,False,67.4,159.8,159.1,44.7,40.0,207.8,384.0,3025,,,
Mangalam Drugs & Organics Ltd.,2005-05-23,22.0,MANGALAM.NS,54.6,cg_bridge,2005-05-23,2007-07-31,False,0.2,-34.6,-29.2,-37.0,211.0,43.5,366.0,3022,,,
India Infoline Ltd.,2005-05-17,76.0,532636.BO,2.7,cg_bridge,2005-05-17,2007-07-25,False,74.5,168.2,533.1,1.9,7.0,533.1,503.0,3023,,,
Allsec Technologies Ltd.,2005-05-09,135.0,,,,,,,,,,,,,,3021,,,
Saksoft Ltd.,2005-05-09,30.0,SAKSOFT.NS,236.0,cg_bridge,2005-05-09,2007-07-17,False,230.0,290.5,566.5,195.2,122.0,570.5,492.0,3016,,,
Shringar Cinemas Ltd.,2005-04-29,53.0,,,,,,,,,,,,,,3019,,,
Gokaldas Exports Ltd.,2005-04-27,425.0,GOKEX.NS,48.3,cg_bridge,2005-04-27,2007-07-05,False,26.4,81.6,-1.0,-33.7,66.0,84.8,232.0,3017,,,
